Neighborhood,Municipality,Year,Age,Gender,StrugglingMakeEnds,ReceivesSupportFromOthers,VolunteerWork,Caregiver,FragileHealthSocialDomain,HighRiskAnxietyDisorderOrDepression,LowResilience,ModerateControlOverMyOwnLife,VeryMuchStressLast4Weeks,SuicideThoughtsLast12Months,GoodExperiencedHealth,MovementImpairment,HearingImpairment,WeeklyExercising,Lonely_25,SeverelyLonely_26,EmotionallyLonely_27,SociallyLonely_28
Stadsdriehoek,Rotterdam,2018,18-24,Male,17.6,13.3,30.4,13.3,12.0,12.9,16.2,63.5,25.1,3.8,78.1,3.7,2.5,61.1,61.7,12.0,35.2,37.9
Stadsdriehoek,Rotterdam,2018,18-24,Female,17.6,16.6,27.4,16.2,11.9,15.2,16.8,61.9,26.5,4.6,77.3,4.9,2.4,58.4,62.0,13.6,37.3,35.6
Stadsdriehoek,Rotterdam,2019,18-24,Male,17.8,13.1,30.8,14.0,11.4,13.2,16.6,63.3,25.1,4.4,77.9,3.8,2.9,60.9,62.0,10.5,34.8,37.5
Stadsdriehoek,Rotterdam,2019,18-24,Female,17.3,16.2,27.8,15.9,12.3,15.4,16.3,61.9,26.6,4.5,77.3,4.8,2.2,57.9,62.0,14.2,38.1,36.2
Stadsdriehoek,Rotterdam,2020,18-24,Male,18.0,13.3,30.8,13.4,11.8,13.8,16.4,64.0,25.8,4.0,77.8,3.6,2.7,60.8,62.0,12.7,35.4,36.7
Stadsdriehoek,Rotterdam,2020,18-24,Female,17.9,16.3,28.0,16.1,11.9,15.9,16.8,62.0,27.2,4.0,76.3,5.3,2.4,58.4,62.0,14.9,37.3,37.2
Stadsdriehoek,Rotterdam,2021,18-24,Male,18.2,13.4,30.5,13.7,11.6,13.2,15.6,63.9,25.4,3.6,77.9,3.7,3.0,60.6,61.4,14.5,33.9,36.3
Stadsdriehoek,Rotterdam,2021,18-24,Female,18.0,16.9,28.3,16.6,12.1,15.5,16.6,62.6,26.9,3.8,76.4,4.8,2.2,58.5,62.0,15.4,38.2,36.6
Stadsdriehoek,Rotterdam,2022,18-24,Male,17.6,13.2,30.9,14.1,11.6,13.3,16.4,64.1,25.3,3.9,78.0,3.5,2.3,60.9,62.0,17.5,35.0,35.5
Stadsdriehoek,Rotterdam,2022,18-24,Female,17.2,17.0,27.7,16.1,11.8,15.9,17.1,62.1,27.1,3.9,76.3,4.9,2.9,58.1,62.0,17.7,37.4,36.2
Stadsdriehoek,Rotterdam,2018,25-34,Male,16.3,11.8,32.4,17.5,10.8,12.2,14.5,65.4,24.7,3.8,76.0,5.0,2.6,58.9,54.4,11.4,29.4,31.1
Stadsdriehoek,Rotterdam,2018,25-34,Female,16.7,14.1,29.8,19.1,11.9,14.4,15.7,64.5,26.4,3.6,74.4,7.0,2.8,55.8,61.6,15.5,34.1,35.0
Stadsdriehoek,Rotterdam,2019,25-34,Male,16.1,12.1,31.9,17.0,10.7,12.7,14.6,66.3,24.2,3.5,75.5,4.8,2.6,58.7,58.0,11.1,32.2,34.0
Stadsdriehoek,Rotterdam,2019,25-34,Female,17.4,13.8,29.6,19.8,12.2,14.9,15.5,64.8,25.7,3.4,74.4,7.1,2.4,55.8,60.5,14.0,34.9,36.3
Stadsdriehoek,Rotterdam,2020,25-34,Male,16.0,11.7,32.4,17.3,10.8,12.1,14.4,65.8,24.2,3.0,75.5,4.8,2.4,58.9,55.7,9.2,29.5,33.4
Stadsdriehoek,Rotterdam,2020,25-34,Female,17.4,14.1,29.8,19.4,11.8,14.1,15.8,64.2,26.4,3.7,74.7,7.0,2.8,55.8,59.0,16.7,35.2,35.0
Stadsdriehoek,Rotterdam,2021,25-34,Male,16.3,11.6,31.9,17.5,10.8,12.8,14.4,65.7,24.2,3.0,75.3,4.9,2.3,58.4,54.6,13.2,29.1,32.9
Stadsdriehoek,Rotterdam,2021,25-34,Female,17.1,14.0,29.0,19.8,12.0,15.0,15.3,64.9,25.8,3.7,74.3,7.2,2.3,56.6,60.7,13.7,35.0,37.0
Stadsdriehoek,Rotterdam,2022,25-34,Male,16.8,11.7,31.6,17.2,10.7,12.9,14.6,65.9,24.3,3.7,75.4,4.9,3.2,58.6,58.2,13.3,33.0,34.6
Stadsdriehoek,Rotterdam,2022,25-34,Female,16.6,14.3,29.3,19.1,12.1,14.7,15.7,64.8,25.9,4.2,73.9,6.4,2.7,56.3,61.5,12.7,36.3,35.8
Stadsdriehoek,Rotterdam,2018,35-44,Male,15.9,10.6,34.6,21.4,12.4,10.5,14.0,67.4,23.4,2.3,74.1,7.8,5.2,56.6,53.2,13.7,26.4,29.3
Stadsdriehoek,Rotterdam,2018,35-44,Female,16.2,13.8,32.4,23.9,13.2,12.8,15.9,66.4,24.3,2.8,72.4,9.4,4.0,54.3,53.7,12.3,30.9,31.5
Stadsdriehoek,Rotterdam,2019,35-44,Male,16.2,10.5,34.9,21.2,12.5,10.1,14.3,67.1,23.5,1.9,74.0,8.2,4.9,57.5,52.6,10.9,25.6,29.3
Stadsdriehoek,Rotterdam,2019,35-44,Female,16.1,12.8,31.5,23.7,12.7,12.8,15.4,65.8,24.5,2.0,72.8,10.1,4.4,53.8,55.0,12.0,31.1,30.8
Stadsdriehoek,Rotterdam,2020,35-44,Male,16.1,10.6,35.1,22.0,12.4,10.6,14.0,67.1,22.9,2.3,73.4,7.9,4.8,57.3,51.1,13.6,26.0,27.7
Stadsdriehoek,Rotterdam,2020,35-44,Female,15.9,13.4,32.4,23.7,12.2,12.2,15.7,66.5,24.5,2.1,72.8,10.1,4.8,54.0,55.3,13.5,31.3,32.5
Stadsdriehoek,Rotterdam,2021,35-44,Male,16.7,10.7,35.1,21.3,11.9,10.4,14.4,67.2,22.9,2.0,74.3,7.9,5.3,57.4,49.6,8.7,26.1,28.2
Stadsdriehoek,Rotterdam,2021,35-44,Female,16.1,13.1,31.7,24.0,12.8,12.3,15.6,66.1,24.9,2.4,72.5,9.3,4.2,54.1,53.6,15.0,28.0,30.7
Stadsdriehoek,Rotterdam,2022,35-44,Male,15.9,10.8,35.0,21.9,11.8,10.9,14.6,66.9,23.3,2.2,74.2,8.0,4.4,57.2,52.9,10.4,28.5,29.8
Stadsdriehoek,Rotterdam,2022,35-44,Female,16.4,12.9,32.3,24.3,13.1,12.3,15.9,65.8,24.6,2.3,72.7,9.3,4.1,54.0,55.6,13.0,30.3,32.8
